frame_number,capture_ts_ms,decode_ts_ms
644,1445172.399,17061.484
645,1445189.151,17077.568
646,1445205.973,17094.598
647,1445222.515,17111.616
648,1445239.182,17127.995
649,1445255.819,17145.001
650,1445272.534,17161.030
651,1445289.167,17178.362
652,1445305.864,17194.416
653,1445322.596,17211.329
654,1445339.264,17227.837
655,1445355.915,17244.991
656,1445372.651,17262.076
657,1445389.280,17278.187
658,1445406.007,17295.467
659,1445422.688,17311.187
660,1445439.339,17327.875
661,1445456.053,17344.805
662,1445472.694,17361.789
663,1445489.553,17378.934
664,1445506.169,17396.455
665,1445522.823,17411.766
666,1445539.430,17428.362
667,1445556.156,17445.206
668,1445572.795,17461.314
669,1445589.525,17478.784
670,1445606.206,17494.951
671,1445622.887,17512.839
672,1445639.538,17529.114
673,1445656.261,17545.454
674,1445672.909,17561.344
675,1445689.646,17578.987
676,1445706.261,17595.105
677,1445723.007,17612.035
678,1445739.666,17628.973
679,1445756.316,17644.838
680,1445773.038,17662.080
681,1445789.906,17678.706
682,1445806.469,17695.930
683,1445823.083,17711.769
684,1445839.779,17728.241
685,1445856.422,17745.192
686,1445873.144,17762.230
687,1445889.826,17778.603
688,1445906.475,17794.783
689,1445923.196,17811.785
690,1445939.874,17828.252
691,1445956.564,17845.254
692,1445973.239,17862.101
693,1445989.885,17878.270
694,1446006.610,17895.223
695,1446023.291,17912.038
696,1446040.057,17929.316
697,1446056.752,17946.560
698,1446073.340,17962.175
699,1446090.034,17978.971
700,1446106.686,17995.482
701,1446123.396,18012.417
702,1446140.035,18029.101
703,1446156.762,18045.268
704,1446173.407,18062.177
705,1446190.140,18079.137
706,1446207.006,18096.391
707,1446223.531,18112.151
708,1446240.205,18129.109
709,1446256.834,18146.516
710,1446273.548,18162.355
711,1446290.195,18178.921
712,1446306.914,18196.126
713,1446323.777,18213.234
714,1446340.284,18229.173
715,1446356.927,18246.077
716,1446373.644,18262.025
717,1446390.294,18278.904
718,1446407.015,18296.025
719,1446423.664,18311.968
720,1446440.388,18328.690
721,1446457.069,18345.635
722,1446473.710,18362.773
723,1446490.435,18378.756
724,1446507.079,18396.034
725,1446523.802,18412.789
726,1446540.488,18429.779
727,1446557.155,18445.788
728,1446574.012,18462.759
729,1446590.628,18479.768
730,1446607.243,18496.125
731,1446623.856,18514.111
732,1446640.543,18529.846
733,1446657.273,18545.577
734,1446673.992,18562.845
735,1446690.645,18579.560
736,1446707.324,18596.779
737,1446723.970,18612.319
738,1446740.689,18629.147
739,1446757.328,18646.397
740,1446774.053,18663.469
741,1446790.704,18679.133
742,1446807.423,18696.413
743,1446824.062,18712.887
744,1446840.791,18729.814
745,1446857.476,18745.892
746,1446874.154,18762.617
747,1446890.848,18782.777
748,1446907.559,18796.790
749,1446924.211,18813.148
750,1446940.852,18829.197
751,1446957.569,18846.187
752,1446974.223,18862.641
753,1446990.952,18879.659
754,1447007.580,18896.137
755,1447024.305,18912.784
756,1447040.947,18929.760
757,1447057.676,18947.200
758,1447074.353,18963.497
759,1447091.144,18980.327
760,1447107.733,18997.347
761,1447124.425,19013.002
762,1447141.113,19029.759
763,1447157.741,19046.947
764,1447174.468,19062.940
765,1447191.158,19079.767
766,1447208.032,19097.347
767,1447224.538,19113.933
768,1447241.204,19129.663
769,1447257.838,19146.618
770,1447274.754,19163.345
771,1447291.207,19180.461
772,1447307.930,19196.411
773,1447324.562,19213.070
774,1447341.291,19229.902
775,1447357.941,19246.838
776,1447374.658,19264.039
777,1447391.302,19279.874
778,1447408.030,19297.272
779,1447424.679,19314.165
780,1447441.405,19329.885
781,1447458.079,19346.656
782,1447474.765,19363.618
783,1447491.406,19379.657
784,1447508.134,19396.710
785,1447524.811,19413.459
786,1447541.459,19430.241
787,1447558.176,19447.027
788,1447574.822,19463.233
789,1447591.548,19480.082
790,1447608.341,19497.692
791,1447624.978,19515.638
792,1447641.565,19530.558
793,1447658.289,19547.427
794,1447674.949,19564.607
795,1447691.667,19580.068
796,1447708.337,19597.250
797,1447724.985,19614.176
798,1447741.706,19630.052
799,1447758.354,19647.098
800,1447775.075,19663.790
801,1447791.762,19680.920
802,1447808.438,19697.149
803,1447825.084,19714.006
804,1447841.806,19731.199
805,1447858.486,19747.452
806,1447875.132,19764.245
807,1447891.870,19780.959
808,1447908.573,19798.128
809,1447925.225,19814.673
810,1447941.864,19830.439
811,1447958.588,19847.132
812,1447975.227,19864.792
813,1447991.962,19880.193
814,1448008.595,19897.334
815,1448025.319,19914.346
816,1448041.959,19930.464
817,1448058.686,19947.329
818,1448075.334,19964.110
819,1448092.054,19981.217
820,1448108.701,19997.302
821,1448125.421,20014.358
822,1448142.087,20031.335
823,1448158.934,20048.292
824,1448175.502,20064.917
825,1448192.124,20080.755
826,1448208.841,20097.881
827,1448225.661,20115.013
828,1448242.228,20130.560
829,1448258.853,20147.654
830,1448275.571,20165.121
831,1448292.223,20180.554
832,1448308.939,20197.460
833,1448325.583,20215.141
834,1448342.304,20230.809
835,1448358.953,20247.706
836,1448375.683,20264.771
837,1448392.369,20281.587
838,1448408.995,20297.821
839,1448425.732,20315.079
840,1448442.412,20331.471
841,1448459.107,20347.449
842,1448475.735,20363.790
843,1448492.463,20380.761
844,1448509.098,20397.927
845,1448525.825,20414.802
846,1448542.469,20431.553
847,1448559.197,20448.647
848,1448575.840,20465.189
849,1448592.555,20480.902
850,1448609.483,20497.754
851,1448626.045,20516.720
852,1448642.629,20531.221
853,1448659.323,20548.440
854,1448675.974,20565.046
855,1448692.685,20582.136
856,1448709.356,20597.897
857,1448726.032,20615.663
858,1448742.676,20631.125
859,1448759.397,20648.165
860,1448776.139,20664.768
861,1448792.730,20681.772
862,1448809.454,20697.840
863,1448826.094,20715.380
864,1448842.823,20731.466
865,1448859.495,20748.227
866,1448876.138,20764.461
867,1448892.872,20781.698
868,1448909.510,20798.949
869,1448926.233,20815.421
870,1448942.878,20831.201
871,1448959.594,20848.099
872,1448976.245,20864.534
873,1448992.966,20881.642
874,1449009.610,20898.595
875,1449026.347,20914.964
876,1449043.015,20932.080
877,1449059.701,20948.165
878,1449076.340,20965.276
879,1449093.063,20981.898
880,1449109.756,20998.214
881,1449126.440,21015.387
882,1449143.314,21032.049
883,1449159.861,21049.008
884,1449176.606,21066.393
885,1449193.174,21081.923
886,1449209.861,21099.085
887,1449226.673,21115.244
888,1449243.275,21131.925
889,1449259.868,21148.844
890,1449276.588,21165.142
891,1449293.264,21181.795
892,1449309.959,21198.785
893,1449326.596,21214.930
